time,open,high,low,close,volume,
1.63E+12,49069.9,49099,49051.39,49056.9,48.41149,
1.63E+12,49056.91,49056.91,49002.81,49023.42,36.30527,
1.63E+12,49023.41,49123.48,49002.08,49093.07,94.80708,
1.63E+12,49093.07,49129.08,49072.27,49117.05,53.31277,
1.63E+12,49117.06,49156,49102,49155.05,81.611099,
1.63E+12,49155.04,49174.61,49124.43,49174.6,57.938017,
1.63E+12,49174.6,49200,49146.74,49191.77,177.753244,
1.63E+12,49191.8,49199.96,49105.98,49140.73,60.45385,
1.63E+12,49141.76,49171.95,49119,49154.39,20.16228,
1.63E+12,49154.39,49160,49116.27,49119.97,30.70633,
1.63E+12,49119.96,49129.04,49070.97,49072.51,34.40037,
1.63E+12,49072.5,49083.81,49031.7,49037.89,32.30931,
1.63E+12,49037.89,49042.03,49016.08,49027.33,27.20684,
1.63E+12,49027.34,49027.34,48993.56,49011.66,49.50336,
1.63E+12,49011.65,49023.93,48998.61,49016.96,36.78992,
1.63E+12,49016.97,49016.97,48930,48930.89,30.87202,
1.63E+12,48930.89,48935.6,48883.67,48899.96,67.87226,
1.63E+12,48899.97,48927.31,48867.76,48869.94,40.36868,
1.63E+12,48869.93,48908.74,48835,48901.85,42.95546,
1.63E+12,48901.84,48971.49,48901.84,48961.48,35.59595,
1.63E+12,48961.48,48973.1,48931.98,48949.28,18.04959,
1.63E+12,48949.28,48952.63,48900.61,48905,18.26695,
1.63E+12,48904.99,48948.67,48882.87,48941.2,23.276,
1.63E+12,48941.2,48949.78,48921.82,48939.67,14.22249,
1.63E+12,48939.66,48955.8,48923.66,48930.61,22.12807,
1.63E+12,48930.61,48955.36,48930.6,48955.35,16.07234,
1.63E+12,48955.35,48975.81,48919.09,48936.83,25.31693,
1.63E+12,48936.82,48978.61,48923.62,48977.29,15.12857,
1.63E+12,48977.28,48988.68,48964.18,48986.88,17.8718,
1.63E+12,48986.87,49032.43,48986.87,49026.62,17.96965,
1.63E+12,49026.62,49050,49020.5,49049.99,20.59199,
1.63E+12,49049.99,49123.62,49048.77,49121.22,54.52855,
1.63E+12,49121.23,49161.26,49091.03,49132.55,49.20743,
1.63E+12,49132.54,49273,49128.84,49176.61,186.559425,
1.63E+12,49176.61,49178.92,49127.65,49128.71,34.87389,
1.63E+12,49128.71,49141.99,49068.89,49117.17,35.94742,
1.63E+12,49110.83,49156.19,49069,49074.27,30.99928,
